nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
ALTOS TEPETLICA,16240,115.57,19.22711243,-99.15044946,Xochimilco,CDMX
SAN BARTOLO EL CHICO,16020,3349.569565,19.2831822,-99.1288983,Xochimilco,CDMX
SAN JOSE LAS PERITAS,16029,2008.2,19.2727906,-99.1241508,Xochimilco,CDMX
SAN JUAN TEPEPAN,16029,2310.969741,19.27472513,-99.12880743,Xochimilco,CDMX
LA CEBADA,16038,2861.955672,19.27697173,-99.12311507,Xochimilco,CDMX
SAN LORENZO LA CEBADA I,16040,2192.028412,19.28462271,-99.11880578,Xochimilco,CDMX
HUICHAPAN,16050,3265.430992,19.2633053,-99.11700934,Xochimilco,CDMX
INFONAVIT PROLONGACION DIVISION DEL NORTE (U HAB),16050,2083.704944,19.27160938,-99.11656564,Xochimilco,CDMX
LA NORIA,16050,3082.179077,19.2652324,-99.12309149,Xochimilco,CDMX
TIERRA NUEVA,16050,2086.706534,19.26596816,-99.11892058,Xochimilco,CDMX
PASEOS DEL SUR,16058,2742.504567,19.27454128,-99.12299273,Xochimilco,CDMX
VILLA XOCHIMILCO (U HAB),16060,3042.75,19.26700295,-99.12539367,Xochimilco,CDMX
LA GUADALUPITA (BARR),16070,2091.08,19.26453282,-99.10172016,Xochimilco,CDMX
SAN DIEGO (BARR),16080,2091.08,19.2637827,-99.09990079,Xochimilco,CDMX
SANTA CRUCITA (BARR),16080,2091.08,19.26223155,-99.10204379,Xochimilco,CDMX
BELEM (BARR),16090,2091.08,19.25992323,-99.10249013,Xochimilco,CDMX
EL ROSARIO (BARR),16090,2091.08,19.26247692,-99.10477139,Xochimilco,CDMX
JARDINES DEL SUR,16090,2472.910743,19.2587491,-99.11649477,Xochimilco,CDMX
SAN ANTONIO (BARR),16090,2193.657026,19.26267046,-99.10703293,Xochimilco,CDMX
SAN CRISTOBAL (BARR),16090,2009.986354,19.25995954,-99.09911174,Xochimilco,CDMX
SAN JUAN (BARR),16090,1294.026603,19.26620099,-99.10660033,Xochimilco,CDMX
SAN LORENZO LA CEBADA II,16090,2271.642597,19.27955713,-99.12050294,Xochimilco,CDMX
SAN PEDRO (BARR),16090,2418.776582,19.25903252,-99.10764256,Xochimilco,CDMX
BOSQUE RESIDENCIAL DEL SUR (FRACC),16100,3450.511237,19.28024522,-99.12997372,Xochimilco,CDMX
LA CONCEPCION TLACOAPA (BARR),16200,2045.856386,19.26895122,-99.10433457,Xochimilco,CDMX
LA CONCHA,16210,2126.131789,19.25273494,-99.11556267,Xochimilco,CDMX
CANAL ONCE (U HAB),16300,2300.67,19.24794973,-99.11601552,Xochimilco,CDMX
LORETO PEA POBRE (U HAB),16330,2300.67,19.24734579,-99.11386908,Xochimilco,CDMX
POTRERO DE SAN BERNARDINO,16400,2416.981752,19.26901317,-99.12020454,Xochimilco,CDMX
SANTA MARIA TEPEPAN (PBLO),16400,2051.324689,19.27344635,-99.13669937,Xochimilco,CDMX
TESMIC (RDCIAL),16400,1549.08,19.2427186,-99.10578055,Xochimilco,CDMX
SAN ESTEBAN (BARR),16450,1992.528548,19.26277213,-99.09730478,Xochimilco,CDMX
XALTOCAN (BARR),16450,2197.49735,19.25408385,-99.10061958,Xochimilco,CDMX
JOYA DE VARGAS,16459,170.1,19.23330178,-99.09359778,Xochimilco,CDMX
LA SANTISIMA (BARR),16500,1534.221236,19.26375717,-99.09438271,Xochimilco,CDMX
NUEVA TENOCHTITLAN,16500,1078.67,19.25508467,-99.07324403,Xochimilco,CDMX
SANTA CRUZ XOCHITEPEC (PBLO),16500,1518.008801,19.25729242,-99.1287494,Xochimilco,CDMX
TLAXOPAN,16500,170.1,19.24087751,-99.14028777,Xochimilco,CDMX
XICALHUACAN,16500,54.35,19.25181207,-99.08101177,Xochimilco,CDMX
RINCONADA DEL SUR (U HAB),16505,3021.862125,19.25998337,-99.12013847,Xochimilco,CDMX
AZTLAN-APACHES (U HAB),16600,2191.28,19.28612711,-99.10598286,Xochimilco,CDMX
BARRIO 18,16600,2229.15826,19.2811312,-99.11198099,Xochimilco,CDMX
CALTONGO (BARR),16600,1141.786713,19.25930223,-99.08956513,Xochimilco,CDMX
LA ASUNCION (BARR),16600,1061.735323,19.26933572,-99.10147045,Xochimilco,CDMX
SAN LORENZO (BARR),16600,1528.792577,19.26599935,-99.09582049,Xochimilco,CDMX
SAN MARCOS (AMPL),16600,1980.241054,19.27018463,-99.1123946,Xochimilco,CDMX
TEPEPAN (AMPL),16600,2101.36596,19.26382478,-99.13194672,Xochimilco,CDMX
TECACALANCO,16610,170.1,19.24235844,-99.06756285,Xochimilco,CDMX
LA NORIA TEPEPAN,16630,2682.757457,19.26561221,-99.12797838,Xochimilco,CDMX
SAN MARCOS (BARR),16630,2256.991737,19.26285325,-99.11090323,Xochimilco,CDMX
SAN GREGORIO ATLAPULCO (PBLO),16640,1006.957584,19.25337484,-99.05702744,Xochimilco,CDMX
SANTA CRUZ ACALPIXCA (PBLO),16640,1051.999294,19.24750449,-99.07574464,Xochimilco,CDMX
SAN LORENZO ATEMOAYA (PBLO),16750,1653.975247,19.24366413,-99.10020059,Xochimilco,CDMX
LOS CERRILLOS III,16780,580.8960659,19.25023551,-99.02183122,Xochimilco,CDMX
SAN FRANCISCO CHIQUIMOLA,16780,170.1,19.24684002,-99.02282603,Xochimilco,CDMX
EL CARMEN,16790,743.5948846,19.25255464,-99.02850493,Xochimilco,CDMX
SAN LORENZO,16790,2791.162388,19.27991447,-99.12509928,Xochimilco,CDMX
SANTA MARIA NATIVITAS (PBLO),16790,1138.319822,19.24569773,-99.08964056,Xochimilco,CDMX
SANTIAGO TULYEHUALCO (PBLO),16790,931.1356204,19.2561432,-99.01393204,Xochimilco,CDMX
CRISTO REY,16797,775.9272664,19.25089239,-99.01485291,Xochimilco,CDMX
NATIVITAS,16797,803.5066071,19.24942805,-99.01082037,Xochimilco,CDMX
NATIVITAS (U HAB),16797,2300.67,19.24731188,-99.10634537,Xochimilco,CDMX
LOS CERRILLOS II,16799,684.7600499,19.24585363,-99.01618614,Xochimilco,CDMX
OLIVAR SANTA MARIA,16799,773.4508169,19.24420593,-99.00954994,Xochimilco,CDMX
CERRO GRANDE,16800,1094.480341,19.23904592,-99.11782328,Xochimilco,CDMX
LA CAADA,16800,914.16,19.23996268,-99.11973211,Xochimilco,CDMX
SANTIAGO TEPALCATLALPAN (PBLO),16800,1381.922374,19.24883352,-99.12311127,Xochimilco,CDMX
SAN JOSE ZACATEPEC,16820,859.2984332,19.23812612,-99.12338874,Xochimilco,CDMX
SANTA CRUZ CHAVARRIETA,16840,619.9788406,19.22749341,-99.1215844,Xochimilco,CDMX
SANTA INES,16870,871.891117,19.23474037,-99.11500607,Xochimilco,CDMX
SAN MATEO XALPA (PBLO),16880,1067.673444,19.23228342,-99.1204904,Xochimilco,CDMX
SAN ANDRES AHUAYUCAN (PBLO),16888,450.897672,19.22410847,-99.10675915,Xochimilco,CDMX
SAN LUCAS XOCHIMANCA (PBLO),16890,1307.244758,19.24160987,-99.11255311,Xochimilco,CDMX
GUADALUPE,16900,420.7036364,19.21826352,-99.12079882,Xochimilco,CDMX
NATIVITAS LA JOYA (AMPL),16900,711.5806716,19.23725006,-99.09378216,Xochimilco,CDMX
SAN FRANCISCO TLALNEPANTLA (PBLO),16910,338.6473866,19.19793696,-99.12238547,Xochimilco,CDMX
SANTA CECILIA TEPETLAPA (PBLO),16880,534.2387631,19.21718715,-99.0993252,Xochimilco,CDMX
SAN LUIS TLAXIALTEMALCO (PBLO),16610,667.5263405,19.25697348,-99.03567959,Xochimilco,CDMX
